t,W,p_R,B_drive,R_drive
125,1.3421373048815575,0.9420274971054983,0.0,0.0
126,1.343154482801238,0.9429276692593007,0.0,0.0
127,1.3440552750271804,0.9438017424091638,0.0,0.0
128,1.344843246610352,0.9446507383923016,0.0,0.0
129,1.3455218386284418,0.9454756302518158,0.0,0.0
130,1.3460943732816637,0.9462773449020895,0.0,0.0
131,1.3465640587587782,0.9470567656362039,0.0,0.0
132,1.3469339938833385,0.9478147344849249,0.0,0.0
133,1.3472071725498984,0.9485520544362831,0.0,0.0
134,1.3473864879596216,0.9492694915242653,0.0,0.0
135,1.3474747366644184,0.9499677767946495,0.0,0.0
136,1.347474622428416,0.9506476081555367,0.0,0.0
137,1.347388759915235,0.9513096521196927,0.0,0.0
138,1.3472196782092143,0.9519545454453756,0.0,0.0
139,1.3469698241783932,0.9525828966819214,0.0,0.0
140,1.3467985026914049,0.9522217971525001,1.0,1.0
141,1.3467052285176893,0.9518589288728435,1.0,1.0
142,1.3466895014388693,0.9514944386095011,1.0,1.0
143,1.3467508065052332,0.9511284712557815,1.0,1.0
144,1.3468886143012382,0.9507611698144578,1.0,1.0
145,1.3469429658305132,0.9513862052264022,0.0,0.0
146,1.346916190380034,0.9519959670958356,0.0,0.0
147,1.3468105462523554,0.9525909637577323,0.0,0.0
148,1.3466282233401072,0.953171682716423,0.0,0.0
149,1.3463713455950141,0.9537385916335225,0.0,0.0
150,1.3460419733959184,0.9542921392641516,0.0,0.0
151,1.3456421058201224,0.9548327563442983,0.0,0.0
152,1.3451736828222003,0.9553608564320109,0.0,0.0
153,1.3446385873242652,0.9558768367049669,0.0,0.0
154,1.3440386472215204,0.9563810787168283,0.0,0.0
155,1.3433756373067665,0.9568739491146495,0.0,0.0
156,1.342651281117381,0.9573558003194899,0.0,0.0
157,1.3418672527081432,0.9578269711722539,0.0,0.0
158,1.3410251783531304,0.958287787546671,0.0,0.0
159,1.3401266381797712,0.9587385629312201,0.0,0.0
160,1.3392988395568695,0.9584076441639253,1.0,1.0
161,1.3385414825415873,0.9580750755661196,1.0,1.0
162,1.3378542569988103,0.9577409440223205,1.0,1.0
163,1.3372368426716832,0.9574053360852923,1.0,1.0
164,1.3366889092579584,0.9570683379561356,1.0,1.0
165,1.3360818196941602,0.9575213513281647,0.0,0.0
166,1.3354171036204985,0.9579648993201375,0.0,0.0
167,1.3346962496993184,0.95839925275925,0.0,0.0
168,1.3339207069178771,0.9588246728747848,0.0,0.0
169,1.3330918858435195,0.9592414116945277,0.0,0.0
170,1.3322111598331237,0.9596497124229462,0.0,0.0
171,1.331279866198618,0.9600498098020276,0.0,0.0
172,1.3302993073302973,0.960441930455628,0.0,0.0
173,1.3292707517796032,0.9608262932181378,0.0,0.0
174,1.3281954353029644,0.9612031094482365,0.0,0.0
175,1.3270745618682327,0.9615725833284607,0.0,0.0
176,1.325909304625185,0.961934912151284,0.0,0.0
177,1.3247008068415076,0.9622902865923608,0.0,0.0
178,1.3234501828056162,0.9626388909715636,0.0,0.0
179,1.3221585186976164,0.962980903502403,0.0,0.0
180,1.3209317321409546,0.9626767019121696,1.0,1.0
